Region label,Raw Surface label,Region name,Hemi,Centroid R,Centroid A,Centroid S,DK Region Name,DK Overlap Ratio,AAL Region Name,AAL Overlap Ratio,HarvardOxford Region Name,HarvardOxford Overlap Ratio,MICCAI Region Name,MICCAI Overlap Ratio,BN Region Name,BN Overlap Ratio,Glasser Region Name,Glasser Overlap Ratio,Schaefer200 Region Name,Schaefer200 Overlap Ratio,Schaefer400 Region Name,Schaefer400 Overlap Ratio,Yeo7 Region Name,Yeo7 Overlap Ratio,Yeo17 Region Name,Yeo17 Overlap Ratio
5995,3121449,rh__rostralanteriorcingulate__5,Right,2,25,-8,rh_rostralanteriorcingulate,1,Cingulum_Ant_R,0.62962963,Subcallosal Cortex_Right,0.666666667,Right_ACgG,0.925925926,R_A24rv,0.759259259,R_a24_ROI,0.555555556,7Networks_RH_Default_PFCdPFCm_1,0.888888889,7Networks_RH_Default_PFCdPFCm_1,0.888888889,Right Default,0.685185185,Right Default A,0.388888889
5996,15155070,rh__rostralanteriorcingulate__6,Right,6,31,-9,rh_rostralanteriorcingulate,1,Cingulum_Ant_R,0.594936709,Subcallosal Cortex_Right,0.430379747,Right_ACgG,0.569620253,R_A14m,0.594936709,R_s32_ROI,0.658227848,7Networks_RH_Default_PFCdPFCm_1,0.873417722,7Networks_RH_Default_PFCdPFCm_1,0.974683544,Right Default,0.974683544,Right Default A,0.974683544
5997,6062130,rh__rostralanteriorcingulate__7,Right,5,39,5,rh_rostralanteriorcingulate,1,Cingulum_Ant_R,0.965665236,"Cingulate Gyrus, anterior division_Right",0.939914163,Right_ACgG,0.78111588,R_A32sg,0.686695279,R_p24_ROI,0.811158798,7Networks_RH_Default_PFCdPFCm_2,0.995708155,7Networks_RH_Default_PFCdPFCm_3,1,Right Default,1,Right Default A,1
5998,12095777,rh__rostralanteriorcingulate__8,Right,11,45,8,rh_rostralanteriorcingulate,1,Cingulum_Ant_R,0.933014354,Paracingulate Gyrus_Right,0.602870813,Right_MSFG,0.492822967,R_A32sg,0.727272727,R_a24_ROI,0.550239234,7Networks_RH_Default_PFCdPFCm_2,0.961722488,7Networks_RH_Default_PFCdPFCm_3,0.961722488,Right Default,0.980861244,Right Default A,0.980861244
5999,6412619,rh__rostralanteriorcingulate__9,Right,14,43,-1,rh_medialorbitofrontal,1,Frontal_Sup_Medial_R,0.53125,Paracingulate Gyrus_Right,0.28125,Right_MSFG,0.109375,R_A14m,0.890625,R_p32_ROI,0.9375,7Networks_RH_Default_PFCdPFCm_2,0.75,7Networks_RH_Default_PFCdPFCm_3,0.75,Right Default,0.75,Right Default A,0.75
6000,11200933,rh__rostralanteriorcingulate__10,Right,3,35,-4,rh_rostralanteriorcingulate,1,Cingulum_Ant_R,0.864485981,"Cingulate Gyrus, anterior division_Right",0.827102804,Right_ACgG,0.892523364,R_A32sg,0.598130841,R_a24_ROI,0.990654206,7Networks_RH_Default_PFCdPFCm_2,0.887850467,7Networks_RH_Default_PFCdPFCm_3,0.481308411,Right Default,0.88317757,Right Default A,0.88317757
6001,9136970,rh__rostralanteriorcingulate__11,Right,13,41,-4,rh_medialorbitofrontal,1,Frontal_Med_Orb_R,0.983870968,Paracingulate Gyrus_Right,0.5,Right_MSFG,0.177419355,R_A14m,0.951612903,R_p32_ROI,1,7Networks_RH_Default_PFCdPFCm_2,0.935483871,7Networks_RH_Default_PFCdPFCm_3,0.919354839,Right Default,0.935483871,Right Default A,0.935483871
6002,628548,rh__rostralanteriorcingulate__12,Right,5,35,12,rh_rostralanteriorcingulate,1,Cingulum_Ant_R,0.824742268,"Cingulate Gyrus, anterior division_Right",0.912371134,Right_ACgG,0.649484536,R_A32sg,0.474226804,R_p24_ROI,0.865979381,7Networks_RH_Default_PFCdPFCm_3,0.634020619,7Networks_RH_Default_PFCdPFCm_6,0.530927835,Right Default,0.974226804,Right Default A,0.974226804
6003,11432856,rh__rostralanteriorcingulate__13,Right,3,21,-9,rh_rostralanteriorcingulate,1,Olfactory_R,0.444444444,Subcallosal Cortex_Right,0.888888889,Right_ACgG,0.513888889,R_A13,0.625,R_25_ROI,0.888888889,7Networks_RH_Default_PFCdPFCm_1,0.930555556,7Networks_RH_Default_PFCdPFCm_1,0.930555556,Right Limbic,0.875,Right Limbic B,0.930555556
6004,5676422,rh__rostralanteriorcingulate__14,Right,9,42,11,rh_rostralanteriorcingulate,1,Cingulum_Ant_R,1,"Cingulate Gyrus, anterior division_Right",0.712871287,Right_ACgG,0.707920792,R_A32sg,0.891089109,R_p24_ROI,0.574257426,7Networks_RH_Default_PFCdPFCm_2,0.900990099,7Networks_RH_Default_PFCdPFCm_3,0.930693069,Right Default,0.930693069,Right Default A,0.930693069
